ID	ATR1	ATR2
ID1	-13.548849	-0.023733
ID2	-13.394929	0.021323
ID3	0.021143	0.062567
ID4	-12.017248	-0.221472
ID5	1.765657	0.283073
ID6	16.360479	0.300247
ID7	-13.343121	-0.555558
ID8	14.594617	-0.850695
ID9	-16.938531	-0.296304
ID10	8.154178	-0.443135
ID11	-14.324018	-0.189405
ID12	8.605956	-0.915378
ID13	5.019927	-0.720879
ID14	12.479102	-0.487507
ID15	-8.454857	0.199485
ID16	-4.698407	0.451199
ID17	6.546185	0.875411
ID18	-1.545469	-0.723899
ID19	17.384072	-0.227277
ID20	-5.778804	0.278461
ID21	21.743222	1.056503
ID22	-8.254224	-0.538774
ID23	-12.415244	0.429534
ID24	-14.925628	-0.563820
ID25	-0.792666	0.231144
ID26	-10.043115	-0.423356
ID27	-1.460002	-0.055622
ID28	-3.627716	0.768492
ID29	0.297979	0.255255
ID30	3.632091	-0.198112
ID31	-16.122480	0.289215
ID32	-17.468393	0.165655
ID33	6.785086	0.424040
ID34	-1.149125	-0.043308
ID35	18.628581	-0.282670
ID36	19.851801	-0.327074
ID37	12.228095	0.168860
ID38	-9.874585	-1.260771
ID39	-1.019035	0.455956
ID40	-4.821578	-0.034083
ID41	-1.006956	-0.482675
ID42	8.017507	0.365337
ID43	-3.463849	-0.656989
ID44	8.669756	0.430683
ID45	-3.603177	-0.689427
ID46	-2.602155	-0.522907
ID47	-7.353854	0.469728
ID48	8.660709	0.004994
ID49	3.078379	0.097134
ID50	-7.775188	0.019663
ID51	-4.914370	0.287683
ID52	7.439035	-0.208621
ID53	-1.741143	-0.050801
ID54	0.045532	-0.063800
ID55	13.375090	-0.186838
ID56	14.889548	0.123757
ID57	2.050482	0.261542
ID58	14.371126	-0.339391
ID59	-2.509434	0.725373
ID60	-0.388158	-0.524201
ID61	2.398912	0.724691
ID62	7.620692	0.256454
ID63	-0.893146	0.342503
ID64	5.189339	-0.248941
ID65	2.632458	-0.555750
ID66	0.428961	0.254821
ID67	5.627067	-0.006638
ID68	-5.930726	0.077089
ID69	-3.428894	-0.239259
ID70	5.955162	-0.043104
ID71	-9.223912	0.764765
ID72	-0.031319	-0.107062
ID73	-24.531797	-0.546886
ID74	7.797481	-0.461137
ID75	0.617063	0.869179
ID76	-2.907738	0.158096
ID77	-5.508422	1.067311
ID78	5.446247	-0.075529
ID79	23.726146	-0.258795
ID80	4.069223	-0.191082
ID81	8.187284	-0.210386
ID82	-4.031228	0.073374
ID83	4.292468	0.353452
ID84	-10.102015	0.151019
ID85	-2.644406	0.155465
ID86	2.404342	0.178056
ID87	-8.986436	-0.749804
ID88	-3.732007	-0.112635
ID89	5.320386	-0.665852
ID90	8.046771	-0.376256
ID91	12.586422	-0.355870
ID92	-7.326420	-0.339209
ID93	-2.562083	-0.308744
ID94	-9.662478	-0.378022
ID95	-9.938773	-0.809267
ID96	-9.262899	1.250239
ID97	5.139743	-0.005137
ID98	-8.916334	0.020395
ID99	-20.857635	-0.615100
ID100	1.881139	-1.451445
ID101	27.615489	-5.296545
ID102	-3.594986	-4.690480
ID103	1.318708	-4.122646
ID104	-22.618390	-4.627632
ID105	6.459658	-4.064486
ID106	10.029403	-5.477002
ID107	-10.773063	-5.457021
ID108	-1.147719	-5.207733
ID109	-7.760001	-6.090226
ID110	2.215619	-4.415113
ID111	16.099452	-4.644558
